capability_id,row_kind,capability,status,implementation_status,validation_status,legacy_reference,modern_paths,composition_adapter_paths,test_paths,evidence,remaining_gaps_next_action,active_owner,updated_date
"ZH-F-MATCH-OWNERSHIP","FAMILY","Players teams diplomacy victory defeat and match membership","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/Common/RTS/Player.cpp;GeneralsMD/Code/GameEngine/Source/Common/RTS/Team.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/System/GameLogic.cpp","games/generalszh/gameplay/match;engine/gameplay/rts/match","games/generalszh/composition/game_session.cppm","games/generalszh/gameplay/match/systems/victory_system.test;games/generalszh/gameplay/match/systems/defeat_system.test","Bounded free-for-all outcomes and generation-safe match membership are connected; diplomacy remains conservative.","Implement full participant/team/diplomacy policy, scenario victory conditions and all ownership side effects.","","2026-09-07"
"ZH-F-POWER","FAMILY","Power generation consumption suppression brownout and recovery","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/Common/RTS/Energy.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/PowerPlantUpdate.cpp","engine/gameplay/rts/power;games/generalszh/gameplay/power","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/legacy/power/power_store.cppm","games/generalszh/gameplay/power/systems/power_system.test;games/generalszh/gameplay/power/systems/power_recovery_system.test","Typed power ledger and suppression/recovery paths are present; native callback and full object policy remain boundaries.","Migrate all power producers/consumers, upgrades, brownout effects and content without retaining duplicate owners.","","2026-09-07"
"ZH-F-CONCEALMENT-VISIBILITY","FAMILY","Stealth detection radar shroud and target visibility","IN_PROGRESS","IN_PROGRESS","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/StealthUpdate.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/StealthDetectorUpdate.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/DynamicShroudClearingRangeUpdate.cpp","engine/gameplay/concealment;engine/gameplay/rts/radar;engine/gameplay/rts/visibility;games/generalszh/gameplay/concealment;games/generalszh/gameplay/visibility","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/visibility/visibility_definition.cppm;games/generalszh/adapters/legacy/radar/radar_store.cppm","engine/gameplay/concealment/systems/concealment_system.test;engine/gameplay/rts/visibility/systems/visibility_system.test;games/generalszh/adapters/content/visibility/visibility_definition.test","Bounded ordinary range shroud/current visibility, exploration lease persistence and target gating are evidenced by core/content 8d7d9e CTest 2/2, policy 247872 CTest 1/1, root/combat 73c123 CTest 2/2, decoded content/headless/host eadb24 CTest 3/3, targeting 76ca32 CTest 1/1, and root validation 70835 terminal 6e62db CTest 1/1 with all 40 GameSession cases passing, including the decoded visibility/garrison/capture/death scenario at 1/2/4 workers. Empty/deadline lease coverage remains present.","Broad family remains partial: terrain LOS, radar, stealth/detection integration, diplomacy relations, special reveal variants, presentation/serialization, full content fidelity, performance and cross-platform validation remain open.","","2026-09-07"
"ZH-F-CONTAINMENT","FAMILY","Transport containment garrison tunnel payload and passenger policy","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Contain/TransportContain.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Contain/GarrisonContain.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Contain/TunnelContain.cpp","engine/gameplay/containment;games/generalszh/gameplay/containment","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/containment/transport_definition.cppm","games/generalszh/gameplay/containment/systems/transport_containment_system.test;games/generalszh/gameplay/containment/systems/garrison_containment_system.test","Ground transport, garrison and bounded initial payload paths are connected with explicit known exclusions.","Implement airborne, nested, tunnel, scatter, passenger-fire, work-capable and full legacy payload/content behavior.","","2026-09-07"
"ZH-F-UPGRADES","FAMILY","Upgrade identity masks eligibility execution and effects","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/Common/System/Upgrade.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Upgrade/UpgradeModule.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Upgrade/ArmorUpgrade.cpp","games/generalszh/gameplay/upgrades;engine/gameplay/rts/upgrades","games/generalszh/adapters/content/upgrades/upgrade_definition.cppm;games/generalszh/adapters/legacy/upgrades/identity/upgrade_catalog.cppm","games/generalszh/gameplay/upgrades/identity/upgrade_catalog.test;games/generalszh/adapters/content/upgrades/upgrade_definition.test","Stable upgrade identity and bounded storage/definition slices exist; full eligibility/effect execution is not independently complete.","Finish player/object masks, eligibility, grants, callbacks, map composition and every upgrade effect through modern systems.","","2026-09-07"
"ZH-F-PROGRESSION","FAMILY","Veterancy experience rank progression science and awards","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Object.cpp;GeneralsMD/Code/GameEngine/Source/Common/RTS/Player.cpp;GeneralsMD/Code/GameEngine/Source/Common/Thing/ThingTemplate.cpp","engine/gameplay/progression;engine/gameplay/rts/rank;games/generalszh/gameplay/progression","games/generalszh/adapters/content/progression/veterancy_decoder.cppm;games/generalszh/adapters/content/rank/rank_definition.cppm","games/generalszh/gameplay/progression/systems/kill_experience_system.test;engine/gameplay/rts/rank/systems/rank_system.test;games/generalszh/composition/game_session.test","Coordinator-reported rank build 14531/CTest 5 of 5 covers the connected lethal-to-rank-to-science-to-ProducedUnit path at 1/2/4 workers; Raman is closed.","Complete noncombat/stale award policy, unit veterancy behavior, rank content breadth, sinks, UI and serialization codecs.","","2026-09-07"
"ZH-F-AI","FAMILY","Strategic and tactical AI force production scripts and AI-owned decisions","PARTIAL","PARTIAL","UNASSESSED","GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AIPlayer.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/AI/AISkirmishPlayer.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AIUpdate.cpp","engine/gameplay/rts/ai;games/generalszh/gameplay/ai;games/generalszh/gameplay/orders;games/generalszh/gameplay/combat","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/content/units/unit_definition.cppm","games/generalszh/gameplay/ai/systems/force_production_system.test;games/generalszh/composition/game_session.test","Bounded force production is accepted with coordinator build 41422 and CTest 5 of 5; no full-AI claim, TeamTemplate or script adapter claim.","Map and compose full strategic/tactical AI without feature managers; keep script/design ownership separate from accepted code.","","2026-09-07"
"ZH-F-SCRIPTS-SCENARIO","FAMILY","Script engine scenario triggers and victory-condition composition","UNASSESSED","UNASSESSED","UNASSESSED","GeneralsMD/Code/GameEngine/Source/GameLogic/ScriptEngine/ScriptEngine.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/ScriptEngine/ScriptActions.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/ScriptEngine/ScriptConditions.cpp","","games/generalszh/hosts/headless/README.md","","Inventory found legacy script categories but no inspected independent modern execution path.","Audit scripts, scenario loading, trigger state, command ordering and victory integration before adding rows for distinct script families.","","2026-09-07"
"ZH-F-SPECIAL-POWERS-BEHAVIORS","FAMILY","Special powers special abilities object behaviors and OCL/effect policies","IN_PROGRESS","IN_PROGRESS","IN_PROGRESS","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/SpecialPower/SpecialPowerModule.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/SpecialPower/SpecialAbility.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Behavior/BehaviorModule.cpp","games/generalszh/gameplay/economy/systems/economy_system.cppm","games/generalszh/composition/game_session.cppm","games/generalszh/gameplay/economy/systems/economy_system.test","Cash Bounty design is approved; the prior Planck implementation was interrupted when its handle became unavailable, and the scoped continuation is tracked on ZH-C-SPECIAL-POWER-CASH-BOUNTY under Nash; no broad special-power claim is made.","Implement and validate the new bounty modules and EconomySystem DI merge; root production integration follows Hubble file-ownership release and is not an external blocker; map remaining powers/behaviors separately.","","2026-09-07"
"ZH-F-CONTENT","FAMILY","INI interpretation typed immutable definitions catalogs and map/content composition","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/Common/Thing/ThingTemplate.cpp;GeneralsMD/Code/GameEngine/Source/Common/RTS/ProductionPrerequisite.cpp;GeneralsMD/Code/GameEngine/Source/Common/RTS/Science.cpp","games/generalszh/adapters/content;games/generalszh/gameplay/production/definitions;games/generalszh/gameplay/construction/definitions","games/generalszh/adapters/content/README.md;games/generalszh/hosts/headless/content_match.cppm","games/generalszh/adapters/content/ini/named_block.test;games/generalszh/hosts/headless/content_match_impl.test","Actual content adapters cover a bounded extracted subset including units, buildings, armor, science, rank, capture, repair, selling and visibility.","Map all legacy INI schemas, inheritance/defaults, object creation lists, map/scenario catalogs and unsupported fields; do not treat a fixture as full content.","","2026-09-07"
"ZH-F-PRESENTATION","FAMILY","Audio UI model conditions effects animation and graphical presentation","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/Production/production_presentation.cppm;GeneralsMD/Code/GameEngine/Source/GameClient/GUI/GameWindowManagerScript.cpp","engine/events;games/generalszh/presentation;games/generalszh/adapters/legacy/presentation","games/generalszh/presentation/economy/transaction_sound.cppm;games/generalszh/adapters/legacy/presentation/README.md","engine/events/storage/event_batch.test;games/generalszh/presentation/economy/transaction_sound.test","Typed transaction sound and presentation batches exist as bounded boundaries; no graphical modern runtime or full effect/audio integration is claimed.","Connect committed presentation consumers, model/animation/FX/OCL paths and graphical host readiness without driving authoritative state.","","2026-09-07"
"ZH-F-MAP-PHYSICS-COLLISION","FAMILY","Map geometry collision physics hazards and spatial world policy","UNASSESSED","UNASSESSED","UNASSESSED","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Collide/CollideModule.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/PhysicsUpdate.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/PartitionManager.cpp","engine/gameplay/spatial;engine/gameplay/navigation","games/generalszh/hosts/headless/README.md","engine/gameplay/spatial/grid/point_grid.test;engine/gameplay/navigation/grid/navigation_grid.test","Only reusable spatial/navigation primitives were inspected; no full Zero Hour collision/physics composition evidence was found.","Audit map cells, partitions, collision, crush, physics, hazards and deterministic geometry before implementation.","","2026-09-07"
"ZH-F-LEGACY-BRIDGES","FAMILY","Retained legacy adapters and compatibility boundaries","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/System/GameLogic.cpp;GeneralsMD/Code/GameEngine/Source/Common/RTS/Money.cpp","games/generalszh/adapters/legacy","games/generalszh/adapters/legacy/economy/README.md;games/generalszh/adapters/legacy/lifetime/README.md;games/generalszh/adapters/legacy/power/README.md;games/generalszh/adapters/legacy/radar/README.md","games/generalszh/adapters/legacy/economy/account_store.test;games/generalszh/adapters/legacy/lifetime/lifetime_store.test;games/generalszh/adapters/legacy/power/power_store.test;games/generalszh/adapters/legacy/radar/radar_store.test","Retained IncomeSimulation, LifetimeSimulation, PowerSimulation and RadarSimulation are documented compatibility exceptions and are separate from independent modern completion.","Migrate consumers only through bounded scoped work; never count a retained bridge as independent modern gameplay or mirror changes into GeneralsMD.","","2026-09-07"
"ZH-F-REPLAY-MULTIPLAYER","FAMILY","Replay save conversion networking and multiplayer replication policy","NOT_STARTED","NOT_STARTED","NOT_STARTED","Core/GameEngine/Source/Common/MessageStream.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/System/GameLogic.cpp","engine/events","games/generalszh/composition/README.md","engine/events/schema/message_registry.test;engine/events/storage/event_batch.test","Messaging storage and identity are foundation only; networking model and original protocol compatibility remain explicitly undecided/separate.","Do not implement during gameplay slices; define separate scope, codecs, transport, replay and deterministic replication contracts first.","","2026-09-07"
"ZH-C-COMPOSITION-SHARED-GRAPH","CAPABILITY","One shared GameSession scheduler graph for currently registered gameplay","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/System/GameLogic.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Object.cpp","engine/ecs/scheduler/scheduler.cppm;games/generalszh/composition/game_session.cppm;games/generalszh/composition/game_session_impl.cppm","games/generalszh/composition/README.md;games/generalszh/hosts/headless/headless_match.cppm","engine/ecs/scheduler/scheduler.test;games/generalszh/composition/game_session_impl.test;games/generalszh/hosts/headless/headless_match_impl.test","The explicit root-to-scheduler-to-system path and connected worker-count checks are documented; scope is the graph contract for registered systems only. Continuation review 2026-09-07: bounded AttackInput/PoisonInput declaration extraction accepted after actual declarations, executor exports, colocated tests and CMake inspection; build6528 terminalbd7267 exited0 and exact CTest2/2 passed. Peirce closed. Fermat root interface/implementation isolation and crate phase correction remain unaccepted. Main accepted GameSession public/private isolation with one Impl-owned registry/scheduler and one Execute call, exact private-root guard exception, preserved42cases and consumer imports after build55393 terminal18f6f3 exited0 and CTest14/14 passed. Earlier81419/871b50 andf2b062 host import failures were corrected. Uncoordinated Euclid builds were not accepted as evidence; its four namespace/import test hunks were separately inspected and preserved before main rerun. Fermat closed. Mendel stopped with only unbuilt root/claim/test/CMake WIP and no real producer colliders or configurable contact limits. Coordinator preserved the patch and closed the role-confused delegate without acceptance. Fresh Kuhn owns source/design confirmation of the same remaining contact integration before production edit release; no new build or runtime acceptance.","Add remaining capabilities to the graph and keep semantic/resource edges explicit; this completion does not close any gameplay family.","Kuhn:01a07d00-6506-7072-9fe9-7e5f6c263517 (contact integration continuation design confirmation; exclusive root/producer reservation)","2026-09-07"
"ZH-C-LIFETIME-EXPIRATION","CAPABILITY","Typed expiration deadlines lifetime effects and deletion eligibility","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/LifetimeUpdate.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/DeletionUpdate.cpp","engine/gameplay/lifetime/components/expiration.cppm;engine/gameplay/lifetime/systems/expiration_system.cppm;games/generalszh/gameplay/lifetime/systems/lifetime_effect_system.cppm","games/generalszh/adapters/legacy/lifetime/lifetime_store.cppm;games/generalszh/composition/game_session.cppm","engine/gameplay/lifetime/systems/expiration_system.test;games/generalszh/gameplay/lifetime/systems/lifetime_effect_system.test","Modern expiration state and bounded lifetime effects have focused tests and retained adapter evidence.","Migrate all configured lifetime/deletion effects, RNG/INI variants, destruction timing and object cleanup through connected scenarios.","","2026-09-07"
"ZH-C-DEATH-DESTRUCTION","CAPABILITY","Lethal state death effects destruction and deferred cleanup","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Die/DieModule.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Destroy/DestroyModule.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Body/ActiveBody.cpp","engine/gameplay/combat/death;engine/gameplay/combat/systems/health_system.cppm;games/generalszh/gameplay/demolition/systems/demolition_trap_system.cppm","games/generalszh/composition/game_session.cppm","engine/gameplay/combat/death/systems/death_weapon_system.test;games/generalszh/gameplay/demolition/systems/demolition_trap_system.test","Death-weapon and logical-death ordering are covered in bounded connected scenarios; generic death effects remain incomplete.","Map all death types, crates, pilots, OCL/FX, structure collapse and cleanup ownership while preserving already-launched projectiles.","","2026-09-07"
"ZH-C-ECONOMY-ACCOUNT-INCOME","CAPABILITY","Account balances transactions periodic income and history","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/Common/RTS/Money.cpp;GeneralsMD/Code/GameEngine/Source/Common/RTS/Player.cpp","engine/gameplay/rts/economy;games/generalszh/gameplay/economy/systems/account_system.cppm;games/generalszh/gameplay/economy/systems/economy_system.cppm","games/generalszh/composition/game_session.cppm;games/generalszh/adapters/legacy/economy/account_store.cppm;games/generalszh/adapters/legacy/economy/income_store.cppm","games/generalszh/gameplay/economy/systems/account_system.test;games/generalszh/gameplay/economy/systems/economy_system.test;engine/gameplay/rts/economy/systems/income_system.test","Connected account settlement and income use ECS state and deterministic batches; the prior Planck bounty/economy ownership was interrupted and the scoped Cash Bounty continuation is tracked under Nash on ZH-C-SPECIAL-POWER-CASH-BOUNTY. Bounded six-path economy layout accepted after coordinator actual component/algorithm/facade/batch/CMake review; six original test files remain exact modulo line endings at their relocated paths. Main rebuild13d72a terminalceff34 exited0, CTest4acca3 passed3/3 economy suites and65f936 passed2/2 architecture checks. Prior7d0826 failed regeneration on another owner missing presentation tests before compilation; repaired before this pass. Pauli closed; six resolved layout-debt entries removed, other debt retained.","Finish academy/score/presentation effects, all account sources, and validate the pending EconomySystem DI merge without duplicate owners.","","2026-09-07"
"ZH-C-MAP-CHUNK-SCENARIO-ADAPTER","CAPABILITY","RefPack CkMp map scenario decoding into typed validated authored data","IN_PROGRESS","IN_PROGRESS","UNASSESSED","Core/Libraries/Source/Compression/EAC/refdecode.cpp;GeneralsMD/Code/GameEngine/Source/Common/System/DataChunk.cpp;Core/GameEngineDevice/Source/W3DDevice/GameClient/WorldHeightMap.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/Map/SidesList.cpp;GeneralsMD/Code/GameEngine/Source/GameLogic/ScriptEngine/Scripts.cpp","games/generalszh/adapters/content/maps","games/generalszh/migration/parallel_port.md","","Main read-only actual ShellMapMD diagnostic decoded bounds-checked 1116150 bytes from86345 compressed bytes; CkMp126 symbols and771 object records including139waypoints. This is not a production adapter or runtime execution evidence. Fresh Archimedes reserved design-only before any production edit; exact source-grounded typed outputs and malformed/actual-map tests require coordinator approval. Coordinator approved disjoint generic RefPack decoder/module/test and new IO-local CMake files as a supporting part of this map task. Map parser design remains gated: raw source dictionaries and versioned parameters stay behind the adapter; startup binding must preserve reference normalization before producing typed runtime definitions. No decoder/parser validation or runtime acceptance yet.","Implement reviewed bounded scenario adapter for actual map objects properties sides diplomacy teams waypoints and authored script definitions; classify terrain/presentation chunks explicitly. Runtime scripting systems content closure and graphics/audio/backend integration remain separate incomplete work.","Archimedes:01a07ce9-6fd0-7f21-b92f-56c1751604d0 (approved RefPack support implementation; revised map/binder design pending)","2026-09-07"
"ZH-C-HARVESTING-REVENUE","CAPABILITY","Harvest collection finite stock supply delivery and revenue conversion","PARTIAL","PARTIAL","PARTIAL","GeneralsMD/Code/GameEngine/Source/GameLogic/Object/Update/AutoDepositUpdate.cpp;GeneralsMD/Code/GameEngine/Source/Common/RTS/ResourceGatheringManager.cpp","engine/gameplay/rts/harvesting/systems/harvest_system.cppm;games/generalszh/gameplay/harvesting/revenue/harvest_revenue.cppm","games/generalszh/composition/game_session.cppm","engine/gameplay/rts/harvesting/systems/harvest_system.test;games/generalszh/gameplay/harvesting/revenue/harvest_revenue.test;games/generalszh/composition/game_session.test","Connected finite-stock delivery and same-tick account funding are recorded in the migration contract. Bounded SupplyDropoffOwner extraction accepted after actual component/traits/export/helper/CMake/debt review; main build98435 terminalf30ee9 passed3/3 (harvesting metadata plus preserved revenue behavior and architecture pair). Fields/defaults/stable key/version1/Serializable and root-to-EconomySystem joined conversion path are preserved. Raman closed; no full collector fidelity claim.","Add oil/resource variants, docking and full legacy collector/dropoff/content behavior.","","2026-09-07"
